Draw Date,1,2,3,4,5,Mega Ball,Megaplier
"Fri, Apr 22, 2016",19,42,60,21,2,13,5X
"Tue, Apr 19, 2016",28,9,40,57,65,2,5X
"Fri, Apr 15, 2016",37,10,34,73,9,9,5X
"Tue, Apr 12, 2016",59,7,62,63,11,3,5X
"Fri, Apr 08, 2016",38,52,71,65,31,15,3X
"Tue, Apr 05, 2016",57,53,13,45,52,10,5X
"Fri, Apr 01, 2016",41,69,25,28,33,6,2X
"Tue, Mar 29, 2016",38,40,46,33,49,15,5X
"Fri, Mar 25, 2016",35,11,12,46,4,12,2X
"Tue, Mar 22, 2016",34,6,19,70,38,5,5X
"Fri, Mar 18, 2016",73,57,59,8,5,13,5X
"Tue, Mar 15, 2016",30,26,68,18,44,7,4X
"Fri, Mar 11, 2016",71,14,54,18,48,13,4X
"Tue, Mar 08, 2016",37,66,27,69,54,5,5X
"Fri, Mar 04, 2016",26,48,73,21,33,14,4X
"Tue, Mar 01, 2016",55,33,34,29,1,6,5X
"Fri, Feb 26, 2016",74,15,19,3,62,14,4X
"Tue, Feb 23, 2016",39,53,16,32,57,10,5X
"Fri, Feb 19, 2016",27,50,41,2,75,4,4X
"Tue, Feb 16, 2016",64,31,33,9,46,4,3X
"Fri, Feb 12, 2016",68,44,1,7,73,1,3X
"Tue, Feb 09, 2016",71,56,3,46,42,13,4X
"Fri, Feb 05, 2016",23,4,75,6,55,2,3X
"Tue, Feb 02, 2016",7,25,70,51,13,9,4X
"Fri, Jan 29, 2016",28,51,20,52,49,6,2X
"Tue, Jan 26, 2016",14,27,39,50,69,2,2X
"Fri, Jan 22, 2016",56,25,46,21,40,3,5X
"Tue, Jan 19, 2016",47,2,39,17,31,9,2X
"Fri, Jan 15, 2016",53,70,41,29,54,12,2X
"Tue, Jan 12, 2016",29,15,48,31,27,15,4X
"Fri, Jan 08, 2016",51,39,11,57,75,2,5X
"Tue, Jan 05, 2016",36,57,1,48,4,13,5X
"Fri, Jan 01, 2016",18,37,39,7,38,9,5X
"Tue, Dec 29, 2015",55,20,74,25,62,7,3X
"Fri, Dec 25, 2015",15,44,25,29,51,4,4X
"Tue, Dec 22, 2015",70,21,50,11,40,15,3X
"Fri, Dec 18, 2015",28,62,6,23,24,7,5X
"Tue, Dec 15, 2015",47,25,61,51,18,5,5X
"Fri, Dec 11, 2015",14,43,69,54,20,5,4X
"Tue, Dec 08, 2015",7,17,37,73,49,15,3X
"Fri, Dec 04, 2015",61,42,73,26,47,6,5X
"Tue, Dec 01, 2015",7,25,50,5,59,12,2X
"Fri, Nov 27, 2015",59,20,39,16,56,12,3X
"Tue, Nov 24, 2015",38,19,2,30,70,8,4X
"Fri, Nov 20, 2015",12,67,29,37,9,15,2X
"Tue, Nov 17, 2015",12,18,14,61,24,10,3X
"Fri, Nov 13, 2015",17,31,18,59,35,9,5X
"Tue, Nov 10, 2015",8,45,17,71,20,4,4X
"Fri, Nov 06, 2015",50,72,35,31,10,8,3X
"Tue, Nov 03, 2015",44,16,69,29,74,12,5X
"Fri, Oct 30, 2015",17,56,53,51,41,15,5X
"Tue, Oct 27, 2015",27,9,29,74,26,4,3X
"Fri, Oct 23, 2015",25,70,45,32,37,1,5X
"Tue, Oct 20, 2015",52,35,6,38,25,4,4X
"Fri, Oct 16, 2015",48,2,61,38,68,4,3X
"Tue, Oct 13, 2015",52,38,9,7,24,1,5X
"Fri, Oct 09, 2015",8,63,75,9,21,14,4X
"Tue, Oct 06, 2015",17,63,58,66,64,13,3X
"Fri, Oct 02, 2015",4,47,29,14,31,9,2X
"Tue, Sep 29, 2015",21,62,8,61,30,9,3X
"Fri, Sep 25, 2015",51,8,38,3,64,4,5X
"Tue, Sep 22, 2015",30,38,51,28,45,8,5X
"Fri, Sep 18, 2015",17,35,34,65,51,7,3X
"Tue, Sep 15, 2015",35,56,49,7,20,9,4X
"Fri, Sep 11, 2015",31,5,50,67,11,14,2X
"Tue, Sep 08, 2015",20,36,46,41,19,7,3X
"Fri, Sep 04, 2015",21,52,17,39,57,5,5X
"Tue, Sep 01, 2015",40,54,5,35,2,13,5X
"Fri, Aug 28, 2015",40,68,13,60,35,9,4X
"Tue, Aug 25, 2015",59,44,54,63,5,1,5X
"Fri, Aug 21, 2015",21,15,13,72,41,1,5X
"Tue, Aug 18, 2015",2,39,7,53,33,9,3X
"Fri, Aug 14, 2015",52,12,15,71,20,3,4X
"Tue, Aug 11, 2015",3,8,29,57,68,8,4X
